X0;X1;X2;RCE
1656574800.690573;3.27;3.68;991.78
1656575100.6959682;3.77;4.15;991.78
1656575400.701363;3.84;2.0;991.78
1656575700.7067583;3.89;2.07;963.06
1656576000.7121534;1.7;1.08;963.06
1656576300.7175484;3.21;1.2;963.06
1656576600.7229435;1.28;0.62;963.06
1656576900.7283387;4.41;0.48;963.06
1656577200.7337337;4.49;0.6;963.06
1656577500.7391288;1.78;1.99;963.06
1656577800.744524;1.38;0.39;963.06
1656578100.7499192;1.38;0.39;963.06
1656578400.755314;4.38;3.25;963.06
1656578700.7607093;1.83;0.9;963.06
1656579000.7661045;1.63;1.51;963.06
1656579300.7714994;4.49;0.93;1001.27
1656579600.7768946;4.49;2.94;1001.27
1656579900.7822897;4.49;0.33;1001.27
1656580200.7876847;4.49;0.3;1001.27
1656580500.7930799;4.47;0.69;1001.27
1656580800.798475;4.41;0.77;1001.27
1656581100.8038702;4.48;0.72;1001.27
1656581400.8092651;4.49;4.06;1001.27
1656581700.8146603;4.48;2.63;1001.27
1656582000.8200555;4.49;0.27;1001.27
1656582300.8254504;4.48;0.27;1001.27
1656582600.8308456;4.49;0.27;1001.27
1656582900.8362408;4.49;0.68;1003.68
1656583200.8416357;4.49;0.67;1003.68
1656583500.8470309;4.49;1.55;1003.68
1656583800.852426;2.66;0.3;1003.68
1656584100.857821;4.48;0.48;1003.68
1656584400.8632162;4.49;0.46;1003.68
1656584700.8686113;4.49;0.49;1003.68
1656585000.8740065;4.49;0.27;1003.68
1656585300.8794014;4.48;0.27;1003.68
1656585600.8847966;4.49;0.17;1003.68
1656585900.8901918;4.45;0.1;1003.68
1656586200.8955867;4.4;0.13;1003.68
1656586500.900982;4.44;0.16;1117.78
1656586800.906377;2.11;0.13;1117.78
1656587100.911772;4.49;0.15;1117.78
1656587400.9171672;3.98;0.07;1117.78
1656587700.9225624;1.94;0.16;1117.78
1656588000.9279573;4.49;0.16;1117.78
1656588300.9333525;4.49;0.2;1117.78
1656588600.9387476;4.49;0.19;1117.78
1656588900.9441428;4.49;1.42;1117.78
1656589200.9495378;4.48;1.38;1117.78
1656589500.954933;4.02;0.28;1117.78
1656589800.960328;4.48;0.19;1117.78
1656590100.965723;4.49;0.2;1464.66
1656590400.9711182;4.49;0.2;1464.66
1656590700.9765134;4.45;0.74;1464.66
1656591000.9819083;4.46;0.74;1464.66
1656591300.9873035;4.44;0.31;1464.66
1656591600.9926987;4.42;0.31;1464.66
1656591900.9980938;4.33;1.52;1464.66
1656592201.0034888;4.28;0.31;1464.66
1656592501.008884;4.24;0.3;1464.66
1656592801.0142791;4.25;0.34;1464.66
1656593101.019674;4.18;0.33;1464.66
1656593401.0250692;4.07;0.32;1464.66
1656593701.0304644;4.02;0.33;1679.25
1656594001.0358593;3.99;0.33;1679.25
1656594301.0412545;3.87;0.31;1679.25
1656594601.0466497;3.79;0.32;1679.25
1656594901.0520446;3.73;0.31;1679.25
1656595201.0574398;3.67;0.32;1679.25
1656595501.062835;3.56;0.31;1679.25
1656595801.0682302;3.48;0.31;1679.25
1656596101.073625;3.41;0.31;1679.25
1656596401.0790203;3.36;2.12;1679.25
1656596701.0844154;3.28;0.36;1679.25
1656597001.0898104;3.1;1.57;1679.25
1656597301.0952055;2.89;0.75;1903.76
1656597601.1006007;1.25;0.41;1903.76
